transliterated,reference,distance,address
eraϑβe,raϑβe,1,"[{'id': 'Y0.3RatuFra', 'index': 0}, {'id': 'Y0.3RatuFra', 'index': 1}]"
yasnāica,yasnāica,0,"[{'id': 'Y0.3RatuFra', 'index': 2}]"
vahmāica,vaɱāica,2,"[{'id': 'Y0.3RatuFra', 'index': 3}, {'id': 'Y0.3RatuFra', 'index': 4}]"
xšnaōϑrāica,xšnaōϑrāica,0,"[{'id': 'Y0.3RatuFra', 'index': 5}]"
frasastaiiaēca,frasastaiiaēca,0,"[{'id': 'Y0.3RatuFra', 'index': 6}, {'id': 'Y0.3RatuFra', 'index': 7}]"
āϑrō,āϑrō,0,"[{'id': 'Y0.3RatuFra', 'index': 8}, {'id': 'Y0.3FireDed', 'index': 0}]"
ahurahe,ahurahe,0,"[{'id': 'Y0.3FireDed', 'index': 1}]"
mazdā̊puϑra,,1000,"[{'id': 'Y0.3FireDed', 'index': 2}]"
tauua,tauua,0,"[{'id': 'Y0.3FireDed', 'index': 3}]"
ātariš,ātarš,1,"[{'id': 'Y0.3FireDed', 'index': 4}]"
puϑra,puϑra,0,"[{'id': 'Y0.3FireDed', 'index': 5}]"
ahurahe,ahurahe,0,"[{'id': 'Y0.3FireDed', 'index': 6}, {'id': 'Y0.3FireDed', 'index': 7}]"
mazdā̊,mazdā̊,0,"[{'id': 'Y0.3FireDed', 'index': 8}]"
xšnaōϑra,xšnaōϑra,0,"[{'id': 'Y0.3FireDed', 'index': 9}]"
yasnāica,yasnāica,0,"[{'id': 'Y0.3FireDed', 'index': 10}, {'id': 'Y0.3FireDed', 'index': 11}]"
tauua,tauua,0,"[{'id': 'Y0.3FireDed', 'index': 12}, {'id': 'Y0.3FireDedF', 'index': 0}]"
ātarš,ātarš,0,"[{'id': 'Y0.3FireDedF', 'index': 1}, {'id': 'Y0.3FireDedF', 'index': 2}]"
puϑra,puϑra,0,"[{'id': 'Y0.3FireDedF', 'index': 3}]"
ahurahe,ahurahe,0,"[{'id': 'Y0.3FireDedF', 'index': 4}]"
mazdā̊xšnaōϑra,,1000,"[{'id': 'Y0.3FireDedF', 'index': 5}]"
yasnāica,yasnāica,0,"[{'id': 'Y0.3FireDedF', 'index': 6}]"
aϑā,aϑā,0,"[{'id': 'Y0.3FireDedF', 'index': 7}, {'id': 'Y0.3WazGrF', 'index': 0}]"
ratuš,ratuš,0,"[{'id': 'Y0.3WazGrF', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,"[{'id': 'Y0.11AV', 'index': 0}]"
vohī,vohu,1,"[{'id': 'Y0.11AV', 'index': 1}]"
xšnaōϑra,xšnaōϑra,0,"[{'id': 'Y0.11AV', 'index': 2}, {'id': 'Y0.12a', 'index': 0}]"
aahurahe,ahurahe,1,"[{'id': 'Y0.12a', 'index': 1}, {'id': 'Y0.12a', 'index': 2}]"
mazdā̊,mazdā̊,0,"[{'id': 'Y0.12a', 'index': 3}]"
tarōidītī,tarōidīti,1,"[{'id': 'Y0.12a', 'index': 4}]"
aŋrahemaińə̄uš,,1000,"[{'id': 'Y0.12a', 'index': 5}]"
haiϑiiāvarəštəm,haiϑiiāvarəštąm,1,"[{'id': 'Y0.12a', 'index': 6}]"
iiat̰,āiiat̰,1,"[{'id': 'Y0.12a', 'index': 7}]"
hiiat̰,hiiat̰,0,"[{'id': 'Y0.12a', 'index': 8}]"
iiat̰,āiiat̰,1,"[{'id': 'Y0.12a', 'index': 9}]"
hiiat̰,hiiat̰,0,"[{'id': 'Y0.12a', 'index': 10}]"
vasnā,vasnā,0,"[{'id': 'Y0.12a', 'index': 11}]"
frašōtəməm,fərašōtəməm,1,"[{'id': 'Y0.12a', 'index': 12}]"
aṣ̌əm,aṣ̌əm,0,"[{'id': 'Y0.12a', 'index': 13}, {'id': 'Y0.13AV', 'index': 0}]"
vohī,vohu,1,"[{'id': 'Y0.13AV', 'index': 1}]"
yaϑā,yaϑā,0,"[{'id': 'Y0.14YAV', 'index': 0}]"
ahī,ahī,0,"[{'id': 'Y0.14YAV', 'index': 1}]"
vairiiō,vairiiō,0,"[{'id': 'Y0.14YAV', 'index': 2}]"
